"","CSN","STATE","NAME","GEO_ID","LocalTax","MedianIncome","Area_Code","St","Cnty","St_Name","Annual_Average_Establishment_Count","Annual_Average_Employment","Annual_Total_Wages","Annual_Average_Weekly_Wage","Annual_Average_Pay","Total_Wage_Location_Quotient_Relative_to_US","Employment_Location_Quotient_Relative_to_US","LAUS Code","State FIPS Code","County FIPS Code","STATE_GEO_ID","Year","Labor Force","Employed","Unemployed","Unemployment Rate","StateTax","StateMeanLocalTax","StateCombinedMeanTax","Geo Id","Ton-miles (millions)","Coefficient of variation for Ton-miles","Tons (thousands)","Tons (percent change)","Standard error for Tons (percent change)","Coefficient of variation for Tons","Value ($ million)","Value (percent change)","Standard error for Value (percent change)","Coefficient of variation for Value","2007 Tons (thousands)","2007 Coefficient of variation for Tons","2007 Value ($ million)","2007 Coefficient of variation for Value"
"315","Tolland County Connecticut","Connecticut","Tolland County","0500000US09013",NA,"40103","09013","09","013","Connecticut",3278,41068,2056829551,963,50083,101,101,"CN0901300000000","09","013","Tolland County, CT","2019",87047,84207,2840,3.3,6.35,NA,6.35,"0400000US09",NA,NA,NA,NA,NA,NA,12052,30.1,34.9,19.5,836,16.1,9264,18.4
"316","Windham County Connecticut","Connecticut","Windham County","0500000US09015",NA,"30633","09015","09","015","Connecticut",2930,38584,1717325420,856,44509,101,101,"CN0901500000000","09","015","Windham County, CT","2019",64281,61697,2584,4,6.35,NA,6.35,"0400000US09",NA,NA,NA,NA,NA,NA,12052,30.1,34.9,19.5,836,16.1,9264,18.4
"317","Kent County Delaware","Delaware","Kent County","0500000US10001",NA,"27657","10001","10","001","Delaware",4230,66719,2925042388,843,43841,101,101,"CN1000100000000","10","001","Kent County, DE","2019",79411,76097,3314,4.2,4.73,0,4.73,"0400000US10",83,38.2,184,NA,NA,33.5,NA,NA,NA,NA,NA,NA,2503,22.4
"318","New Castle County Delaware","Delaware","New Castle County","0500000US10003",NA,"34821","10003","10","003","Delaware",20522,290391,18548487354,1228,63874,101,101,"CN1000300000000","10","003","New Castle County, DE","2019",300148,289100,11048,3.7,4.73,0,4.73,"0400000US10",83,38.2,184,NA,NA,33.5,NA,NA,NA,NA,NA,NA,2503,22.4
"319","Sussex County Delaware","Delaware","Sussex County","0500000US10005",NA,"30501","10005","10","005","Delaware",7154,81813,3313223609,779,40498,101,101,"CN1000500000000","10","005","Sussex County, DE","2019",107706,103648,4058,3.8,4.73,0,4.73,"0400000US10",83,38.2,184,NA,NA,33.5,NA,NA,NA,NA,NA,NA,2503,22.4
"320","District of Columbia","District of Columbia","District of Columbia","0500000US11001",NA,"50978","11001","11","001","District of Columbia",39689,771742,74016819838,1844,95909,101,101,"CN1100100000000","11","001","District of Columbia","2019",409969,387482,22487,5.5,5.75,NA,5.75,"0400000US11",NA,28.8,NA,NA,NA,30.6,NA,NA,NA,NA,NA,NA,NA,NA
"321","Alachua County Florida","Florida","Alachua County","0500000US12001",0.654,"25890","12001","12","001","Florida",7218,132008,6317672766,920,47858,101,101,"CN1200100000000","12","001","Alachua County, FL","2019",139217,135112,4105,2.9,6,0.65,6.65,"0400000US12",3916,11.7,17210,55.6,82,45.6,47641,16.6,24.4,12.4,11059,26.4,40855,16.9
"322","Baker County Florida","Florida","Baker County","0500000US12003",0.619,NA,"12003","12","003","Florida",427,7618,258081266,651,33877,101,101,"CN1200300000000","12","003","Baker County, FL","2019",11852,11484,368,3.1,6,0.65,6.65,"0400000US12",3916,11.7,17210,55.6,82,45.6,47641,16.6,24.4,12.4,11059,26.4,40855,16.9
"323","Bay County Florida","Florida","Bay County","0500000US12005",0.668,"27386","12005","12","005","Florida",5645,77736,3160094805,782,40652,101,101,"CN1200500000000","12","005","Bay County, FL","2019",84235,80980,3255,3.9,6,0.65,6.65,"0400000US12",3916,11.7,17210,55.6,82,45.6,47641,16.6,24.4,12.4,11059,26.4,40855,16.9
"324","Bradford County Florida","Florida","Bradford County","0500000US12007",0.647,NA,"12007","12","007","Florida",541,6635,248599116,721,37468,101,101,"CN1200700000000","12","007","Bradford County, FL","2019",11062,10715,347,3.1,6,0.65,6.65,"0400000US12",3916,11.7,17210,55.6,82,45.6,47641,16.6,24.4,12.4,11059,26.4,40855,16.9
"325","Brevard County Florida","Florida","Brevard County","0500000US12009",0.622,"27857","12009","12","009","Florida",15996,215206,10692567250,955,49685,101,101,"CN1200900000000","12","009","Brevard County, FL","2019",284087,275025,9062,3.2,6,0.65,6.65,"0400000US12",3916,11.7,17210,55.6,82,45.6,47641,16.6,24.4,12.4,11059,26.4,40855,16.9
"326","Broward County Florida","Florida","Broward County","0500000US12011",0.663,"30072","12011","12","011","Florida",69539,812164,43026186535,1019,52977,101,101,"CN1201100000000","12","011","Broward County, FL","2019",1040519,1008813,31706,3,6,0.65,6.65,"0400000US12",3916,11.7,17210,55.6,82,45.6,47641,16.6,24.4,12.4,11059,26.4,40855,16.9
"327","Calhoun County Florida","Florida","Calhoun County","0500000US12013",0.665,NA,"12013","12","013","Florida",239,2859,93632188,630,32746,101,101,"CN1201300000000","12","013","Calhoun County, FL","2019",4819,4622,197,4.1,6,0.65,6.65,"0400000US12",3916,11.7,17210,55.6,82,45.6,47641,16.6,24.4,12.4,11059,26.4,40855,16.9
"328","Charlotte County Florida","Florida","Charlotte County","0500000US12015",0.612,"24429","12015","12","015","Florida",4667,47548,1850651529,748,38922,101,101,"CN1201500000000","12","015","Charlotte County, FL","2019",71865,69239,2626,3.7,6,0.65,6.65,"0400000US12",3916,11.7,17210,55.6,82,45.6,47641,16.6,24.4,12.4,11059,26.4,40855,16.9
"329","Citrus County Florida","Florida","Citrus County","0500000US12017",0.706,"23476","12017","12","017","Florida",3145,32471,1210768743,717,37288,101,101,"CN1201700000000","12","017","Citrus County, FL","2019",47377,45096,2281,4.8,6,0.65,6.65,"0400000US12",3916,11.7,17210,55.6,82,45.6,47641,16.6,24.4,12.4,11059,26.4,40855,16.9
"330","Clay County Florida","Florida","Clay County","0500000US12019",0.663,"31028","12019","12","019","Florida",4484,52105,2057623264,759,39490,101,101,"CN1201900000000","12","019","Clay County, FL","2019",107718,104467,3251,3,6,0.65,6.65,"0400000US12",3916,11.7,17210,55.6,82,45.6,47641,16.6,24.4,12.4,11059,26.4,40855,16.9
"331","Collier County Florida","Florida","Collier County","0500000US12021",0.647,"31485","12021","12","021","Florida",14290,147505,7183104159,936,48697,101,101,"CN1202100000000","12","021","Collier County, FL","2019",180626,175040,5586,3.1,6,0.65,6.65,"0400000US12",3916,11.7,17210,55.6,82,45.6,47641,16.6,24.4,12.4,11059,26.4,40855,16.9
"332","Columbia County Florida","Florida","Columbia County","0500000US12023",0.672,"25893","12023","12","023","Florida",1575,24226,925532124,735,38204,101,101,"CN1202300000000","12","023","Columbia County, FL","2019",29797,28831,966,3.2,6,0.65,6.65,"0400000US12",3916,11.7,17210,55.6,82,45.6,47641,16.6,24.4,12.4,11059,26.4,40855,16.9
"333","DeSoto County Florida","Florida","DeSoto County","0500000US12027",0.63,NA,"12027","12","027","Florida",647,8945,326408689,702,36489,101,101,"CN1202700000000","12","027","DeSoto County, FL","2019",14185,13686,499,3.5,6,0.65,6.65,"0400000US12",3916,11.7,17210,55.6,82,45.6,47641,16.6,24.4,12.4,11059,26.4,40855,16.9
"334","Dixie County Florida","Florida","Dixie County","0500000US12029",0.656,NA,"12029","12","029","Florida",236,2637,92903335,677,35228,101,101,"CN1202900000000","12","029","Dixie County, FL","2019",5828,5606,222,3.8,6,0.65,6.65,"0400000US12",3916,11.7,17210,55.6,82,45.6,47641,16.6,24.4,12.4,11059,26.4,40855,16.9
"335","Duval County Florida","Florida","Duval County","0500000US12031",0.616,"30094","12031","12","031","Florida",29624,514380,27555074540,1030,53569,101,101,"CN1203100000000","12","031","Duval County, FL","2019",491946,475890,16056,3.3,6,0.65,6.65,"0400000US12",3916,11.7,17210,55.6,82,45.6,47641,16.6,24.4,12.4,11059,26.4,40855,16.9
"336","Escambia County Florida","Florida","Escambia County","0500000US12033",0.665,"27117","12033","12","033","Florida",8140,135555,5999964147,851,44262,101,101,"CN1203300000000","12","033","Escambia County, FL","2019",145919,141253,4666,3.2,6,0.65,6.65,"0400000US12",3916,11.7,17210,55.6,82,45.6,47641,16.6,24.4,12.4,11059,26.4,40855,16.9
"337","Flagler County Florida","Florida","Flagler County","0500000US12035",0.667,"27792","12035","12","035","Florida",2543,23781,844061575,683,35493,101,101,"CN1203500000000","12","035","Flagler County, FL","2019",47030,45235,1795,3.8,6,0.65,6.65,"0400000US12",3916,11.7,17210,55.6,82,45.6,47641,16.6,24.4,12.4,11059,26.4,40855,16.9
"338","Franklin County Florida","Florida","Franklin County","0500000US12037",0.656,NA,"12037","12","037","Florida",369,3376,106686867,608,31600,101,101,"CN1203700000000","12","037","Franklin County, FL","2019",4650,4486,164,3.5,6,0.65,6.65,"0400000US12",3916,11.7,17210,55.6,82,45.6,47641,16.6,24.4,12.4,11059,26.4,40855,16.9
"339","Gadsden County Florida","Florida","Gadsden County","0500000US12039",0.656,NA,"12039","12","039","Florida",852,13584,496772247,703,36571,101,101,"CN1203900000000","12","039","Gadsden County, FL","2019",18833,18061,772,4.1,6,0.65,6.65,"0400000US12",3916,11.7,17210,55.6,82,45.6,47641,16.6,24.4,12.4,11059,26.4,40855,16.9
"340","Gilchrist County Florida","Florida","Gilchrist County","0500000US12041",0.657,NA,"12041","12","041","Florida",335,3382,112269018,638,33200,101,101,"CN1204100000000","12","041","Gilchrist County, FL","2019",7145,6900,245,3.4,6,0.65,6.65,"0400000US12",3916,11.7,17210,55.6,82,45.6,47641,16.6,24.4,12.4,11059,26.4,40855,16.9
"341","Glades County Florida","Florida","Glades County","0500000US12043",0.645,NA,"12043","12","043","Florida",175,1845,77524908,808,42009,101,101,"CN1204300000000","12","043","Glades County, FL","2019",5384,5173,211,3.9,6,0.65,6.65,"0400000US12",3916,11.7,17210,55.6,82,45.6,47641,16.6,24.4,12.4,11059,26.4,40855,16.9
"342","Gulf County Florida","Florida","Gulf County","0500000US12045",0.676,NA,"12045","12","045","Florida",410,3654,134848805,710,36906,101,101,"CN1204500000000","12","045","Gulf County, FL","2019",5772,5495,277,4.8,6,0.65,6.65,"0400000US12",3916,11.7,17210,55.6,82,45.6,47641,16.6,24.4,12.4,11059,26.4,40855,16.9
"343","Hamilton County Florida","Florida","Hamilton County","0500000US12047",0.663,NA,"12047","12","047","Florida",217,3031,137651511,873,45410,101,101,"CN1204700000000","12","047","Hamilton County, FL","2019",4340,4162,178,4.1,6,0.65,6.65,"0400000US12",3916,11.7,17210,55.6,82,45.6,47641,16.6,24.4,12.4,11059,26.4,40855,16.9
"344","Hardee County Florida","Florida","Hardee County","0500000US12049",0.662,NA,"12049","12","049","Florida",563,7072,247037583,672,34934,101,101,"CN1204900000000","12","049","Hardee County, FL","2019",8502,8074,428,5,6,0.65,6.65,"0400000US12",3916,11.7,17210,55.6,82,45.6,47641,16.6,24.4,12.4,11059,26.4,40855,16.9
"345","Hendry County Florida","Florida","Hendry County","0500000US12051",0.623,NA,"12051","12","051","Florida",880,11856,484216086,785,40841,101,101,"CN1205100000000","12","051","Hendry County, FL","2019",15587,14680,907,5.8,6,0.65,6.65,"0400000US12",3916,11.7,17210,55.6,82,45.6,47641,16.6,24.4,12.4,11059,26.4,40855,16.9
"346","Hernando County Florida","Florida","Hernando County","0500000US12053",0.685,"24097","12053","12","053","Florida",3732,43931,1643487190,719,37411,101,101,"CN1205300000000","12","053","Hernando County, FL","2019",71923,68906,3017,4.2,6,0.65,6.65,"0400000US12",3916,11.7,17210,55.6,82,45.6,47641,16.6,24.4,12.4,11059,26.4,40855,16.9
"347","Highlands County Florida","Florida","Highlands County","0500000US12055",0.621,"22193","12055","12","055","Florida",2335,27867,962370144,664,34535,101,101,"CN1205500000000","12","055","Highlands County, FL","2019",36094,34452,1642,4.5,6,0.65,6.65,"0400000US12",3916,11.7,17210,55.6,82,45.6,47641,16.6,24.4,12.4,11059,26.4,40855,16.9
"348","Hillsborough County Florida","Florida","Hillsborough County","0500000US12057",0.65,"30580","12057","12","057","Florida",43201,686050,37433433167,1049,54564,101,101,"CN1205700000000","12","057","Hillsborough County, FL","2019",750269,727117,23152,3.1,6,0.65,6.65,"0400000US12",3916,11.7,17210,55.6,82,45.6,47641,16.6,24.4,12.4,11059,26.4,40855,16.9
"349","Holmes County Florida","Florida","Holmes County","0500000US12059",0.646,NA,"12059","12","059","Florida",348,3368,106258506,607,31553,101,101,"CN1205900000000","12","059","Holmes County, FL","2019",6947,6701,246,3.5,6,0.65,6.65,"0400000US12",3916,11.7,17210,55.6,82,45.6,47641,16.6,24.4,12.4,11059,26.4,40855,16.9
"350","Indian River County Florida","Florida","Indian River County","0500000US12061",0.674,"26174","12061","12","061","Florida",5114,52594,2255209458,825,42879,101,101,"CN1206100000000","12","061","Indian River County, FL","2019",65457,62949,2508,3.8,6,0.65,6.65,"0400000US12",3916,11.7,17210,55.6,82,45.6,47641,16.6,24.4,12.4,11059,26.4,40855,16.9
"351","Jackson County Florida","Florida","Jackson County","0500000US12063",0.645,NA,"12063","12","063","Florida",942,14362,511574171,685,35620,101,101,"CN1206300000000","12","063","Jackson County, FL","2019",17145,16522,623,3.6,6,0.65,6.65,"0400000US12",3916,11.7,17210,55.6,82,45.6,47641,16.6,24.4,12.4,11059,26.4,40855,16.9
"352","Jefferson County Florida","Florida","Jefferson County","0500000US12065",0.706,NA,"12065","12","065","Florida",313,2526,85647959,652,33905,101,101,"CN1206500000000","12","065","Jefferson County, FL","2019",5623,5436,187,3.3,6,0.65,6.65,"0400000US12",3916,11.7,17210,55.6,82,45.6,47641,16.6,24.4,12.4,11059,26.4,40855,16.9
"353","Lafayette County Florida","Florida","Lafayette County","0500000US12067",0.653,NA,"12067","12","067","Florida",128,1300,43358122,642,33359,101,101,"CN1206700000000","12","067","Lafayette County, FL","2019",2855,2769,86,3,6,0.65,6.65,"0400000US12",3916,11.7,17210,55.6,82,45.6,47641,16.6,24.4,12.4,11059,26.4,40855,16.9
"354","Lake County Florida","Florida","Lake County","0500000US12069",0.658,"26632","12069","12","069","Florida",8368,98705,3774144930,735,38237,101,101,"CN1206900000000","12","069","Lake County, FL","2019",159027,153919,5108,3.2,6,0.65,6.65,"0400000US12",3916,11.7,17210,55.6,82,45.6,47641,16.6,24.4,12.4,11059,26.4,40855,16.9
"355","Lee County Florida","Florida","Lee County","0500000US12071",0.613,"27889","12071","12","071","Florida",22462,261782,11734818996,862,44827,101,101,"CN1207100000000","12","071","Lee County, FL","2019",348027,337116,10911,3.1,6,0.65,6.65,"0400000US12",3916,11.7,17210,55.6,82,45.6,47641,16.6,24.4,12.4,11059,26.4,40855,16.9
"356","Leon County Florida","Florida","Leon County","0500000US12073",0.673,"26090","12073","12","073","Florida",8737,151280,6848734490,871,45272,101,101,"CN1207300000000","12","073","Leon County, FL","2019",155493,150713,4780,3.1,6,0.65,6.65,"0400000US12",3916,11.7,17210,55.6,82,45.6,47641,16.6,24.4,12.4,11059,26.4,40855,16.9
"357","Levy County Florida","Florida","Levy County","0500000US12075",0.631,NA,"12075","12","075","Florida",955,9042,295410527,628,32670,101,101,"CN1207500000000","12","075","Levy County, FL","2019",16725,16104,621,3.7,6,0.65,6.65,"0400000US12",3916,11.7,17210,55.6,82,45.6,47641,16.6,24.4,12.4,11059,26.4,40855,16.9
"358","Liberty County Florida","Florida","Liberty County","0500000US12077",0.667,NA,"12077","12","077","Florida",120,1837,72031260,754,39206,101,101,"CN1207700000000","12","077","Liberty County, FL","2019",2639,2545,94,3.6,6,0.65,6.65,"0400000US12",3916,11.7,17210,55.6,82,45.6,47641,16.6,24.4,12.4,11059,26.4,40855,16.9
"359","Madison County Florida","Florida","Madison County","0500000US12079",0.622,NA,"12079","12","079","Florida",363,4302,141877076,634,32979,101,101,"CN1207900000000","12","079","Madison County, FL","2019",7469,7188,281,3.8,6,0.65,6.65,"0400000US12",3916,11.7,17210,55.6,82,45.6,47641,16.6,24.4,12.4,11059,26.4,40855,16.9
"360","Manatee County Florida","Florida","Manatee County","0500000US12081",0.646,"30001","12081","12","081","Florida",11037,124279,5349384279,828,43043,101,101,"CN1208100000000","12","081","Manatee County, FL","2019",179993,174382,5611,3.1,6,0.65,6.65,"0400000US12",3916,11.7,17210,55.6,82,45.6,47641,16.6,24.4,12.4,11059,26.4,40855,16.9
"361","Marion County Florida","Florida","Marion County","0500000US12083",0.591,"23628","12083","12","083","Florida",8475,103537,3961829064,736,38265,101,101,"CN1208300000000","12","083","Marion County, FL","2019",137624,132335,5289,3.8,6,0.65,6.65,"0400000US12",3916,11.7,17210,55.6,82,45.6,47641,16.6,24.4,12.4,11059,26.4,40855,16.9
"362","Martin County Florida","Florida","Martin County","0500000US12085",0.675,"31524","12085","12","085","Florida",6356,68035,2878398700,814,42308,101,101,"CN1208500000000","12","085","Martin County, FL","2019",74119,71786,2333,3.1,6,0.65,6.65,"0400000US12",3916,11.7,17210,55.6,82,45.6,47641,16.6,24.4,12.4,11059,26.4,40855,16.9
"363","Miami-Dade County Florida","Florida","Miami-Dade County","0500000US12086",0.634,"25035","12086","12","086","Florida",99022,1144432,62714427616,1054,54800,101,101,"CN1208600000000","12","086","Miami-Dade County, FL","2019",1383989,1350924,33065,2.4,6,0.65,6.65,"0400000US12",3916,11.7,17210,55.6,82,45.6,47641,16.6,24.4,12.4,11059,26.4,40855,16.9
"364","Monroe County Florida","Florida","Monroe County","0500000US12087",0.656,"34293","12087","12","087","Florida",4519,40285,1723066293,823,42772,101,101,"CN1208700000000","12","087","Monroe County, FL","2019",46755,45792,963,2.1,6,0.65,6.65,"0400000US12",3916,11.7,17210,55.6,82,45.6,47641,16.6,24.4,12.4,11059,26.4,40855,16.9
"365","Nassau County Florida","Florida","Nassau County","0500000US12089",0.655,"28841","12089","12","089","Florida",2190,22960,949609286,795,41359,101,101,"CN1208900000000","12","089","Nassau County, FL","2019",41210,40000,1210,2.9,6,0.65,6.65,"0400000US12",3916,11.7,17210,55.6,82,45.6,47641,16.6,24.4,12.4,11059,26.4,40855,16.9
"366","Okaloosa County Florida","Florida","Okaloosa County","0500000US12091",0.606,"30362","12091","12","091","Florida",6550,84327,3849926093,878,45655,101,101,"CN1209100000000","12","091","Okaloosa County, FL","2019",96940,94342,2598,2.7,6,0.65,6.65,"0400000US12",3916,11.7,17210,55.6,82,45.6,47641,16.6,24.4,12.4,11059,26.4,40855,16.9
"367","Okeechobee County Florida","Florida","Okeechobee County","0500000US12093",0.701,NA,"12093","12","093","Florida",997,11399,422636476,713,37077,101,101,"CN1209300000000","12","093","Okeechobee County, FL","2019",17801,17184,617,3.5,6,0.65,6.65,"0400000US12",3916,11.7,17210,55.6,82,45.6,47641,16.6,24.4,12.4,11059,26.4,40855,16.9
"368","Orange County Florida","Florida","Orange County","0500000US12095",0.621,"27208","12095","12","095","Florida",43075,848915,42405211422,961,49952,101,101,"CN1209500000000","12","095","Orange County, FL","2019",762737,740564,22173,2.9,6,0.65,6.65,"0400000US12",3916,11.7,17210,55.6,82,45.6,47641,16.6,24.4,12.4,11059,26.4,40855,16.9
"369","Osceola County Florida","Florida","Osceola County","0500000US12097",0.664,"22453","12097","12","097","Florida",7185,95106,3587529091,725,37721,101,101,"CN1209700000000","12","097","Osceola County, FL","2019",184329,178283,6046,3.3,6,0.65,6.65,"0400000US12",3916,11.7,17210,55.6,82,45.6,47641,16.6,24.4,12.4,11059,26.4,40855,16.9
"370","Palm Beach County Florida","Florida","Palm Beach County","0500000US12099",0.663,"30247","12099","12","099","Florida",56924,606403,33222957266,1054,54787,101,101,"CN1209900000000","12","099","Palm Beach County, FL","2019",733663,709694,23969,3.3,6,0.65,6.65,"0400000US12",3916,11.7,17210,55.6,82,45.6,47641,16.6,24.4,12.4,11059,26.4,40855,16.9
"371","Pasco County Florida","Florida","Pasco County","0500000US12101",0.668,"27488","12101","12","101","Florida",11133,119364,4678575237,754,39196,101,101,"CN1210100000000","12","101","Pasco County, FL","2019",237941,229631,8310,3.5,6,0.65,6.65,"0400000US12",3916,11.7,17210,55.6,82,45.6,47641,16.6,24.4,12.4,11059,26.4,40855,16.9
"372","Pinellas County Florida","Florida","Pinellas County","0500000US12103",0.626,"29774","12103","12","103","Florida",33445,434582,21417532221,948,49283,101,101,"CN1210300000000","12","103","Pinellas County, FL","2019",494185,479472,14713,3,6,0.65,6.65,"0400000US12",3916,11.7,17210,55.6,82,45.6,47641,16.6,24.4,12.4,11059,26.4,40855,16.9
"373","Polk County Florida","Florida","Polk County","0500000US12105",0.615,"25816","12105","12","105","Florida",13491,220809,9401520102,819,42578,101,101,"CN1210500000000","12","105","Polk County, FL","2019",305752,294472,11280,3.7,6,0.65,6.65,"0400000US12",3916,11.7,17210,55.6,82,45.6,47641,16.6,24.4,12.4,11059,26.4,40855,16.9
"374","Putnam County Florida","Florida","Putnam County","0500000US12107",0.646,"21059","12107","12","107","Florida",1421,16286,620970538,733,38128,101,101,"CN1210700000000","12","107","Putnam County, FL","2019",26563,25413,1150,4.3,6,0.65,6.65,"0400000US12",3916,11.7,17210,55.6,82,45.6,47641,16.6,24.4,12.4,11059,26.4,40855,16.9
"375","St. Johns County Florida","Florida","St. Johns County","0500000US12109",0.655,"34703","12109","12","109","Florida",7468,76665,3486381672,875,45475,101,101,"CN1210900000000","12","109","St. Johns County, FL","2019",132464,128970,3494,2.6,6,0.65,6.65,"0400000US12",3916,11.7,17210,55.6,82,45.6,47641,16.6,24.4,12.4,11059,26.4,40855,16.9
"376","St. Lucie County Florida","Florida","St. Lucie County","0500000US12111",0.69,"27091","12111","12","111","Florida",6552,77252,3179320587,791,41155,101,101,"CN1211100000000","12","111","St. Lucie County, FL","2019",145111,139389,5722,3.9,6,0.65,6.65,"0400000US12",3916,11.7,17210,55.6,82,45.6,47641,16.6,24.4,12.4,11059,26.4,40855,16.9
"377","Santa Rosa County Florida","Florida","Santa Rosa County","0500000US12113",0.644,"32424","12113","12","113","Florida",3498,38485,1460339329,730,37946,101,101,"CN1211300000000","12","113","Santa Rosa County, FL","2019",82903,80448,2455,3,6,0.65,6.65,"0400000US12",3916,11.7,17210,55.6,82,45.6,47641,16.6,24.4,12.4,11059,26.4,40855,16.9
"378","Sarasota County Florida","Florida","Sarasota County","0500000US12115",0.64,"30662","12115","12","115","Florida",16115,171108,8103400235,911,47359,101,101,"CN1211500000000","12","115","Sarasota County, FL","2019",189137,183288,5849,3.1,6,0.65,6.65,"0400000US12",3916,11.7,17210,55.6,82,45.6,47641,16.6,24.4,12.4,11059,26.4,40855,16.9
"379","Seminole County Florida","Florida","Seminole County","0500000US12117",0.652,"33143","12117","12","117","Florida",15113,194887,9494539553,937,48718,101,101,"CN1211700000000","12","117","Seminole County, FL","2019",255529,248085,7444,2.9,6,0.65,6.65,"0400000US12",3916,11.7,17210,55.6,82,45.6,47641,16.6,24.4,12.4,11059,26.4,40855,16.9
"380","Sumter County Florida","Florida","Sumter County","0500000US12119",0.64,"27373","12119","12","119","Florida",1898,29771,1221909957,789,41043,101,101,"CN1211900000000","12","119","Sumter County, FL","2019",32628,31126,1502,4.6,6,0.65,6.65,"0400000US12",3916,11.7,17210,55.6,82,45.6,47641,16.6,24.4,12.4,11059,26.4,40855,16.9
"381","Suwannee County Florida","Florida","Suwannee County","0500000US12121",0.665,NA,"12121","12","121","Florida",815,11425,398678074,671,34894,101,101,"CN1212100000000","12","121","Suwannee County, FL","2019",18046,17427,619,3.4,6,0.65,6.65,"0400000US12",3916,11.7,17210,55.6,82,45.6,47641,16.6,24.4,12.4,11059,26.4,40855,16.9
"382","Taylor County Florida","Florida","Taylor County","0500000US12123",0.66,NA,"12123","12","123","Florida",439,6590,264333079,771,40110,101,101,"CN1212300000000","12","123","Taylor County, FL","2019",8229,7934,295,3.6,6,0.65,6.65,"0400000US12",3916,11.7,17210,55.6,82,45.6,47641,16.6,24.4,12.4,11059,26.4,40855,16.9
"383","Union County Florida","Florida","Union County","0500000US12125",0.637,NA,"12125","12","125","Florida",204,3373,128752748,734,38167,101,101,"CN1212500000000","12","125","Union County, FL","2019",4638,4501,137,3,6,0.65,6.65,"0400000US12",3916,11.7,17210,55.6,82,45.6,47641,16.6,24.4,12.4,11059,26.4,40855,16.9
"384","Volusia County Florida","Florida","Volusia County","0500000US12127",0.631,"27610","12127","12","127","Florida",14478,173345,6948619386,771,40085,101,101,"CN1212700000000","12","127","Volusia County, FL","2019",254312,245545,8767,3.4,6,0.65,6.65,"0400000US12",3916,11.7,17210,55.6,82,45.6,47641,16.6,24.4,12.4,11059,26.4,40855,16.9
"385","Wakulla County Florida","Florida","Wakulla County","0500000US12129",0.636,NA,"12129","12","129","Florida",537,5741,205900846,690,35867,101,101,"CN1212900000000","12","129","Wakulla County, FL","2019",14921,14487,434,2.9,6,0.65,6.65,"0400000US12",3916,11.7,17210,55.6,82,45.6,47641,16.6,24.4,12.4,11059,26.4,40855,16.9
"386","Walton County Florida","Florida","Walton County","0500000US12131",0.611,"29084","12131","12","131","Florida",2715,26131,1007157785,741,38543,101,101,"CN1213100000000","12","131","Walton County, FL","2019",31577,30685,892,2.8,6,0.65,6.65,"0400000US12",3916,11.7,17210,55.6,82,45.6,47641,16.6,24.4,12.4,11059,26.4,40855,16.9
"387","Washington County Florida","Florida","Washington County","0500000US12133",0.666,NA,"12133","12","133","Florida",458,5937,210562845,682,35465,101,101,"CN1213300000000","12","133","Washington County, FL","2019",9678,9348,330,3.4,6,0.65,6.65,"0400000US12",3916,11.7,17210,55.6,82,45.6,47641,16.6,24.4,12.4,11059,26.4,40855,16.9
"388","Appling County Georgia","Georgia","Appling County","0500000US13001",2.979,NA,"13001","13","001","Georgia",404,6850,313955892,881,45834,101,101,"CN1300100000000","13","001","Appling County, GA","2019",9306,8945,361,3.9,4,2.96,6.96,"0400000US13",6833,10.3,12147,50.3,26.9,15,26479,37.5,23.3,10.6,8080,9.7,19257,13.2
"389","Atkinson County Georgia","Georgia","Atkinson County","0500000US13003",2.911,NA,"13003","13","003","Georgia",115,2221,76563830,663,34468,101,101,"CN1300300000000","13","003","Atkinson County, GA","2019",4695,4552,143,3,4,2.96,6.96,"0400000US13",6833,10.3,12147,50.3,26.9,15,26479,37.5,23.3,10.6,8080,9.7,19257,13.2
"390","Bacon County Georgia","Georgia","Bacon County","0500000US13005",3.061,NA,"13005","13","005","Georgia",251,3842,138672330,694,36091,101,101,"CN1300500000000","13","005","Bacon County, GA","2019",4966,4790,176,3.5,4,2.96,6.96,"0400000US13",6833,10.3,12147,50.3,26.9,15,26479,37.5,23.3,10.6,8080,9.7,19257,13.2
"391","Baker County Georgia","Georgia","Baker County","0500000US13007",2.876,NA,"13007","13","007","Georgia",58,427,15579927,702,36487,101,101,"CN1300700000000","13","007","Baker County, GA","2019",1163,1108,55,4.7,4,2.96,6.96,"0400000US13",6833,10.3,12147,50.3,26.9,15,26479,37.5,23.3,10.6,8080,9.7,19257,13.2
"392","Baldwin County Georgia","Georgia","Baldwin County","0500000US13009",2.782,NA,"13009","13","009","Georgia",802,15564,526947587,651,33857,101,101,"CN1300900000000","13","009","Baldwin County, GA","2019",17409,16671,738,4.2,4,2.96,6.96,"0400000US13",6833,10.3,12147,50.3,26.9,15,26479,37.5,23.3,10.6,8080,9.7,19257,13.2
"393","Banks County Georgia","Georgia","Banks County","0500000US13011",2.873,NA,"13011","13","011","Georgia",276,4509,149255584,637,33102,101,101,"CN1301100000000","13","011","Banks County, GA","2019",9616,9352,264,2.7,4,2.96,6.96,"0400000US13",6833,10.3,12147,50.3,26.9,15,26479,37.5,23.3,10.6,8080,9.7,19257,13.2
